title,platform,file_id,direct_url
Excitebike,NES,1guYlPZcSQpq0Kqvt7cWcDTcf7sVwep_P,https://drive.google.com/uc?export=download&id=1guYlPZcSQpq0Kqvt7cWcDTcf7sVwep_P
Ice Climber,NES,1bsWi9tZLbQ6oPzImm2HFvvZpMaDzliFp,https://drive.google.com/uc?export=download&id=1bsWi9tZLbQ6oPzImm2HFvvZpMaDzliFp
Kid Icarus,NES,16-1GKt_9UPGCHylJvlNguNuS1m0ngVTJ,https://drive.google.com/uc?export=download&id=16-1GKt_9UPGCHylJvlNguNuS1m0ngVTJ
Kirby's Adventure,NES,16QsaZ2YVahm-4QHTr-P5eFNilPKXUeIV,https://drive.google.com/uc?export=download&id=16QsaZ2YVahm-4QHTr-P5eFNilPKXUeIV
Mario Bros,NES,1nkxV4d5mDDjkI4gi5b4ywUVJWBOFnhmc,https://drive.google.com/uc?export=download&id=1nkxV4d5mDDjkI4gi5b4ywUVJWBOFnhmc
Mega Man,NES,1ExQsqKKQTZrSj217Nur6Lf_hhUfVYuz1,https://drive.google.com/uc?export=download&id=1ExQsqKKQTZrSj217Nur6Lf_hhUfVYuz1
Metroid,NES,1zjVtfmJpdEr0Gr17qk-18dQfo39SwfkH,https://drive.google.com/uc?export=download&id=1zjVtfmJpdEr0Gr17qk-18dQfo39SwfkH
Punch-Out!!,NES,1WXenOLbdCJ_0f0_YDpEvppLSpCpIMayY,https://drive.google.com/uc?export=download&id=1WXenOLbdCJ_0f0_YDpEvppLSpCpIMayY
Super Mario Bros. 2,NES,1jOhiX9N5sCLu3ykKH4EugsDvSDbgUwnc,https://drive.google.com/uc?export=download&id=1jOhiX9N5sCLu3ykKH4EugsDvSDbgUwnc
Super Mario Bros. 3,NES,1PPmHnsb8OletpEAud0Lb6l7XFJfMUHKX,https://drive.google.com/uc?export=download&id=1PPmHnsb8OletpEAud0Lb6l7XFJfMUHKX
Super Mario Bros.,NES,17aE1TM1L5HHkG5bR1GnkdXv8v3V-Vid7,https://drive.google.com/uc?export=download&id=17aE1TM1L5HHkG5bR1GnkdXv8v3V-Vid7
Tetris,NES,1TWSQSTQlb5AD2c1SmMVYG8HFCS97EfqJ,https://drive.google.com/uc?export=download&id=1TWSQSTQlb5AD2c1SmMVYG8HFCS97EfqJ
The Legend of Zelda,NES,1ioeYMR-beeQxvLWtvYkdTeTQX2m0CxGX,https://drive.google.com/uc?export=download&id=1ioeYMR-beeQxvLWtvYkdTeTQX2m0CxGX
